id,College,Branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
65,E007 Dayananda Sagar College of Engineering  Bangalore,CS Computers,7467,999999999,13972,8922,14013,12442,9329,999999999,999999999,6394,12116,9253,6949,999999999,9460,4981,9190,8990,18475,19962,32061,11854,999999999,999999999
66,E007 Dayananda Sagar College of Engineering  Bangalore,CY CS- Cyber Security,999999999,999999999,999999999,13056,999999999,999999999,13691,999999999,999999999,12882,999999999,15472,11683,999999999,999999999,9681,16009,14837,33503,999999999,999999999,999999999,999999999,999999999
67,E007 Dayananda Sagar College of Engineering  Bangalore,DS Comp. Sc. Engg- Data Sc.,13642,999999999,999999999,12499,999999999,18569,10620,999999999,999999999,11436,999999999,999999999,8737,999999999,999999999,7386,999999999,13906,32826,999999999,39526,999999999,36711,999999999
68,E007 Dayananda Sagar College of Engineering  Bangalore,EC Electronics,14350,31079,24094,20473,63156,29628,26116,999999999,999999999,14980,999999999,18877,16652,999999999,20099,11993,29094,18728,49026,97158,83271,26912,999999999,999999999
69,E007 Dayananda Sagar College of Engineering  Bangalore,EE Electrical,98631,999999999,999999999,74646,999999999,125086,100938,999999999,117881,50630,999999999,999999999,51559,93493,999999999,39663,76268,51403,127573,999999999,999999999,56023,999999999,999999999
70,E007 Dayananda Sagar College of Engineering  Bangalore,EI Elec. Inst. Engg,82972,999999999,999999999,75092,999999999,125724,53594,999999999,999999999,58553,999999999,999999999,66850,999999999,999999999,42161,77467,119068,123424,999999999,999999999,121900,999999999,999999999
71,E007 Dayananda Sagar College of Engineering  Bangalore,ET Elec. Telecommn. Engg.,74265,999999999,999999999,58317,999999999,69827,104795,999999999,999999999,41676,999999999,999999999,54238,999999999,67544,34124,78497,40675,100670,172023,147155,115078,999999999,999999999
72,E007 Dayananda Sagar College of Engineering  Bangalore,IE Info.Science,16906,999999999,18869,12872,15541,17161,10356,999999999,16744,9557,999999999,999999999,9459,999999999,11861,7313,10721,11328,34261,36844,51919,19230,999999999,999999999
73,E007 Dayananda Sagar College of Engineering  Bangalore,MD Med.Elect.,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,165134,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
74,E007 Dayananda Sagar College of Engineering  Bangalore,ME Mechanical,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,173507,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
75,E008 Bangalore Institute of Technology Bangalore,"AI Artificial
Intelligence",21467,999999999,999999999,15826,999999999,18858,16780,999999999,999999999,12732,999999999,999999999,14252,999999999,999999999,12513,18860,14564,39874,999999999,41881,999999999,999999999,999999999
76,E008 Bangalore Institute of Technology Bangalore,CE Civil,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,174070,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
77,E008 Bangalore Institute of Technology Bangalore,CS Computers,8027,999999999,13838,11965,20482,12210,10226,999999999,29900,7448,999999999,999999999,7146,999999999,11977,6489,8641,10032,26156,27533,42023,19122,999999999,999999999
78,E008 Bangalore Institute of Technology Bangalore,DS Comp. Sc. Engg- Data Sc.,18527,999999999,999999999,18140,37455,999999999,11091,999999999,999999999,10476,999999999,999999999,999999999,999999999,999999999,9882,999999999,18175,33636,999999999,47711,24569,999999999,37754
79,E008 Bangalore Institute of Technology Bangalore,EC Electronics,21071,999999999,999999999,24759,44794,33046,28638,999999999,999999999,19391,999999999,999999999,20524,999999999,30236,17880,32292,26929,48196,91304,92844,29849,999999999,35431
80,E008 Bangalore Institute of Technology Bangalore,EE Electrical,128942,999999999,999999999,92363,999999999,97713,80191,999999999,98123,52135,999999999,999999999,60737,999999999,999999999,51943,999999999,61247,129220,999999999,999999999,92123,105374,999999999
81,E008 Bangalore Institute of Technology Bangalore,EI Elec. Inst. Engg,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,159210,999999999,999999999,150644,999999999,999999999,143834,999999999,999999999,151440,999999999,999999999,150855,999999999,999999999
82,E008 Bangalore Institute of Technology Bangalore,ET Elec. Telecommn. Engg.,102449,999999999,999999999,65493,999999999,79245,59816,999999999,999999999,53235,999999999,999999999,42688,999999999,999999999,41193,101428,63953,164814,999999999,999999999,78173,999999999,999999999
83,E008 Bangalore Institute of Technology Bangalore,"EV EC  Engg(VLSI
Design)",999999999,999999999,999999999,137114,999999999,999999999,74105,999999999,999999999,84340,999999999,999999999,90626,999999999,999999999,72056,156618,139392,135130,999999999,999999999,101873,999999999,999999999
84,E008 Bangalore Institute of Technology Bangalore,IE Info.Science,17988,999999999,999999999,13531,999999999,14613,13767,999999999,38379,9645,999999999,999999999,11704,13353,999999999,9317,11398,12616,37797,999999999,61078,15551,999999999,999999999
85,E008 Bangalore Institute of Technology Bangalore,"IO CS- Internet of
Things",33477,999999999,999999999,19682,999999999,29052,33837,999999999,999999999,16890,999999999,999999999,16668,999999999,999999999,13286,32871,28064,49370,999999999,101862,999999999,999999999,999999999
86,E008 Bangalore Institute of Technology Bangalore,ME Mechanical,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,163907,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
87,E008 Bangalore Institute of Technology Bangalore,RI Robotics and AI,37752,999999999,44362,47895,999999999,999999999,78686,999999999,999999999,26883,999999999,40595,26118,999999999,999999999,25333,25644,37079,124599,999999999,999999999,36160,999999999,999999999
88,E009 P E S University (Ring Road Campus) Bangalore,"AI Artificial
Intelligence",8848,999999999,999999999,8230,17938,16835,19972,999999999,999999999,4281,999999999,999999999,5049,999999999,6844,2852,14944,6532,28043,52367,137932,11255,999999999,20874
89,E009 P E S University (Ring Road Campus) Bangalore,BT Bio Technology,159628,999999999,999999999,142548,999999999,999999999,39816,999999999,999999999,65847,999999999,999999999,39937,999999999,999999999,27368,999999999,111907,81449,999999999,999999999,999999999,999999999,999999999
90,E009 P E S University (Ring Road Campus) Bangalore,CS Computers,6306,15334,9142,4542,11460,8897,7272,999999999,18752,3818,9364,4619,3451,8082,4277,1528,5411,3362,14483,18584,44947,7207,999999999,11814
91,E009 P E S University (Ring Road Campus) Bangalore,EC Electronics,15512,999999999,17765,11031,37143,24790,14646,53089,18644,6195,999999999,9232,8250,999999999,14469,4973,13934,9091,37962,53871,55845,19251,999999999,999999999
92,E009 P E S University (Ring Road Campus) Bangalore,EE Electrical,31309,999999999,999999999,40831,999999999,56804,49712,999999999,999999999,26113,999999999,999999999,24489,999999999,999999999,21166,40626,33892,84917,999999999,999999999,52541,67184,60182
93,E009 P E S University (Ring Road Campus) Bangalore,ME Mechanical,999999999,999999999,999999999,39541,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,34920,90932,49170,138743,999999999,999999999,122794,999999999,999999999
94,E011 M V J College of Engineering Bangalore,AE Aeronaut.Engg,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,172412,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
95,E011 M V J College of Engineering Bangalore,"AI Artificial
Intelligence",45877,999999999,999999999,45553,999999999,999999999,999999999,999999999,999999999,39888,999999999,999999999,50855,999999999,999999999,39137,65575,44390,74500,999999999,999999999,89511,999999999,156346
96,E011 M V J College of Engineering Bangalore,"CD Computer Sc.
and Design",58255,999999999,999999999,62354,999999999,99040,61866,999999999,999999999,999999999,999999999,999999999,64096,999999999,999999999,41082,999999999,54650,87798,999999999,999999999,999999999,999999999,999999999
97,E011 M V J College of Engineering Bangalore,CE Civil,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,159677,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
98,E011 M V J College of Engineering Bangalore,CH Chemical,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,163729,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
99,E011 M V J College of Engineering Bangalore,CS Computers,35831,999999999,38067,33897,44004,40166,24834,999999999,999999999,24424,999999999,29373,25882,999999999,32130,23017,27321,29091,49774,104647,94488,33476,999999999,999999999
100,E011 M V J College of Engineering Bangalore,DS Comp. Sc. Engg- Data Sc.,38504,999999999,999999999,45515,999999999,999999999,999999999,999999999,999999999,34310,999999999,39559,42911,999999999,999999999,31406,999999999,33056,88034,999999999,999999999,68938,999999999,143055
101,E011 M V J College of Engineering Bangalore,EC Electronics,81299,999999999,999999999,78256,82264,95700,91604,999999999,999999999,48559,78069,67938,59662,999999999,81314,47509,63848,67124,154429,999999999,158176,108154,999999999,999999999
102,E011 M V J College of Engineering Bangalore,EE Electrical,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,164525,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
103,E011 M V J College of Engineering Bangalore,IE Info.Science,38809,999999999,999999999,43575,999999999,45931,39651,999999999,999999999,29587,999999999,40793,31408,999999999,999999999,29578,43229,34711,66513,124438,98122,40309,999999999,999999999
104,E011 M V J College of Engineering Bangalore,ME Mechanical,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,174228,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
105,E011 M V J College of Engineering Bangalore,SE Aero Space Engg.,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,148133,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
106,E011 M V J College of Engineering Bangalore,TI Industrial IoT,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,172548,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
107,"E012 Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore,","AI Artificial
Intelligence",26810,999999999,999999999,24886,999999999,35400,26305,999999999,999999999,25548,999999999,999999999,25337,999999999,999999999,22782,45188,25328,41112,999999999,999999999,999999999,999999999,999999999
108,"E012 Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore,",BT Bio Technology,999999999,999999999,999999999,126317,999999999,999999999,170559,999999999,999999999,76150,999999999,999999999,999999999,999999999,999999999,68060,148017,115131,154083,999999999,999999999,103448,999999999,999999999
109,"E012 Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore,",CE Civil,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,166441,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
110,"E012 Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore,",CS Computers,22442,999999999,999999999,19243,26557,26283,19203,999999999,29232,13005,999999999,18241,13636,999999999,18647,12617,23995,15694,35806,50522,47297,13727,999999999,999999999
