id,college,branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
57,E007 Dayananda Sagar College of Engineering  Bangalore,AE,19647,999999999,999999999,21897,999999999,27967,25501,999999999,999999999,15481,999999999,999999999,17267,999999999,999999999,14957,27047,24096,39931,999999999,58372,999999999,999999999,999999999
58,E007 Dayananda Sagar College of Engineering  Bangalore,AI,7582,999999999,999999999,8383,999999999,999999999,12276,999999999,999999999,999999999,999999999,999999999,5683,12297,999999999,4830,11233,6858,23720,999999999,999999999,14397,999999999,27934
59,E007 Dayananda Sagar College of Engineering  Bangalore,AU,83833,999999999,999999999,77913,999999999,106006,999999999,999999999,999999999,60319,999999999,999999999,60626,999999999,999999999,58059,999999999,80445,117797,999999999,999999999,111752,999999999,999999999
60,E007 Dayananda Sagar College of Engineering  Bangalore,BT,999999999,999999999,999999999,26204,999999999,49780,38635,999999999,999999999,21908,999999999,999999999,33620,999999999,999999999,18131,999999999,41996,46681,999999999,77584,35731,999999999,999999999
61,E007 Dayananda Sagar College of Engineering  Bangalore,CB,11751,999999999,999999999,9464,30774,21726,16468,999999999,999999999,8838,999999999,999999999,999999999,999999999,999999999,6744,999999999,13966,40625,999999999,999999999,15709,999999999,999999999
62,E007 Dayananda Sagar College of Engineering  Bangalore,CD,13100,999999999,999999999,10218,999999999,21937,12878,999999999,999999999,9226,999999999,999999999,999999999,999999999,999999999,6962,18664,12194,34513,999999999,42404,19831,999999999,999999999
63,E007 Dayananda Sagar College of Engineering  Bangalore,CE,88425,999999999,999999999,93071,117823,106550,104126,999999999,999999999,81648,999999999,999999999,83081,999999999,113519,77366,97400,93632,97342,136217,148681,80352,999999999,97345
64,E007 Dayananda Sagar College of Engineering  Bangalore,CH,67744,999999999,147156,57710,999999999,100773,51724,999999999,999999999,44217,999999999,999999999,51300,999999999,999999999,39485,46061,72361,100195,999999999,999999999,999999999,999999999,123171
65,E007 Dayananda Sagar College of Engineering  Bangalore,CS,6090,999999999,7736,4270,9866,6852,5310,999999999,999999999,3273,12116,4854,3509,999999999,4959,3100,7544,4579,15780,19962,18627,9173,999999999,999999999
66,E007 Dayananda Sagar College of Engineering  Bangalore,CY,999999999,999999999,999999999,6993,999999999,999999999,13647,999999999,999999999,5393,999999999,9368,6296,999999999,999999999,5333,16009,8739,30072,999999999,999999999,999999999,999999999,999999999
67,E007 Dayananda Sagar College of Engineering  Bangalore,DS,10857,999999999,999999999,7423,999999999,8920,10620,999999999,999999999,5293,999999999,999999999,6000,999999999,999999999,5159,999999999,7648,28066,999999999,39526,999999999,36711,999999999
68,E007 Dayananda Sagar College of Engineering  Bangalore,EC,12950,31079,18728,13757,20184,17240,18884,999999999,999999999,9537,999999999,12104,10240,999999999,13220,9179,17871,11977,40209,47834,51919,16711,999999999,999999999
69,E007 Dayananda Sagar College of Engineering  Bangalore,EE,35559,999999999,38052,31133,999999999,38590,30481,999999999,75725,27425,999999999,999999999,28883,40626,999999999,27286,32259,30468,57187,999999999,59360,31059,999999999,999999999
70,E007 Dayananda Sagar College of Engineering  Bangalore,EI,41138,999999999,999999999,36689,999999999,69423,38149,999999999,999999999,34124,999999999,999999999,30951,999999999,999999999,30561,44376,40518,92340,999999999,134595,999999999,999999999,999999999
71,E007 Dayananda Sagar College of Engineering  Bangalore,ET,32257,999999999,999999999,33679,999999999,36304,27161,999999999,163112,27479,999999999,999999999,28107,999999999,40675,26912,28496,33746,91740,172023,147155,43102,999999999,999999999
72,E007 Dayananda Sagar College of Engineering  Bangalore,IE,7467,999999999,8265,6390,10721,8374,10356,999999999,16744,4793,999999999,999999999,5183,999999999,6238,4668,10572,5855,23998,36844,36205,11814,999999999,999999999
73,E007 Dayananda Sagar College of Engineering  Bangalore,MD,999999999,999999999,999999999,53855,999999999,126723,53594,999999999,999999999,39639,999999999,999999999,43846,999999999,999999999,37604,74711,92307,112858,999999999,999999999,69234,999999999,999999999
74,E007 Dayananda Sagar College of Engineering  Bangalore,ME,83307,999999999,999999999,87503,129781,120681,83595,999999999,131913,70160,999999999,105013,78452,999999999,107785,69265,90065,103523,119139,999999999,999999999,95554,999999999,999999999
75,E008 Bangalore Institute of Technology Bangalore,AI,8848,999999999,999999999,9423,999999999,13906,9561,999999999,999999999,7056,999999999,999999999,6836,999999999,999999999,6629,16985,9422,35197,999999999,41881,999999999,999999999,999999999
76,E008 Bangalore Institute of Technology Bangalore,CE,86992,999999999,999999999,99313,999999999,128604,97132,999999999,150931,86740,129133,102468,87845,999999999,999999999,86418,107008,101069,111539,999999999,124182,102289,999999999,999999999
77,E008 Bangalore Institute of Technology Bangalore,CS,5114,999999999,9546,5207,10520,7370,7235,999999999,8331,3994,999999999,999999999,4303,999999999,6214,3747,8641,5191,17409,27533,22287,9870,999999999,999999999
78,E008 Bangalore Institute of Technology Bangalore,DS,13642,999999999,999999999,9034,29963,999999999,11091,999999999,999999999,6187,999999999,999999999,999999999,999999999,999999999,5469,999999999,9088,27545,999999999,43880,15551,999999999,37754
79,E008 Bangalore Institute of Technology Bangalore,EC,13533,999999999,999999999,14137,25422,14882,22686,999999999,999999999,10669,999999999,999999999,11601,999999999,13274,10265,16749,12569,45721,53871,52776,24569,999999999,26134
80,E008 Bangalore Institute of Technology Bangalore,EE,999999999,999999999,999999999,31898,999999999,36485,31932,999999999,999999999,25789,999999999,999999999,27521,999999999,999999999,23990,999999999,28847,50952,999999999,999999999,45016,51160,999999999
81,E008 Bangalore Institute of Technology Bangalore,EI,39581,999999999,999999999,46231,999999999,63242,39613,999999999,999999999,37370,999999999,999999999,37768,999999999,999999999,37332,77467,44271,91377,999999999,141317,999999999,999999999,999999999
82,E008 Bangalore Institute of Technology Bangalore,ET,36781,999999999,999999999,32436,999999999,44454,41308,999999999,999999999,26162,999999999,999999999,28007,999999999,999999999,24817,56348,36389,64211,999999999,141439,999999999,999999999,999999999
83,E008 Bangalore Institute of Technology Bangalore,EV,24758,999999999,139392,29959,999999999,999999999,42742,999999999,999999999,23858,999999999,999999999,22886,999999999,999999999,22091,999999999,23103,94659,999999999,999999999,57189,999999999,999999999
84,E008 Bangalore Institute of Technology Bangalore,IE,6821,999999999,999999999,7951,999999999,8897,7750,999999999,17580,5606,999999999,999999999,6086,12328,999999999,5573,10723,7026,26090,999999999,35911,10964,999999999,999999999
85,E008 Bangalore Institute of Technology Bangalore,IO,13826,999999999,999999999,11045,999999999,29052,16458,999999999,999999999,8570,999999999,999999999,9709,999999999,999999999,7599,32871,12887,38789,999999999,46257,999999999,999999999,999999999
86,E008 Bangalore Institute of Technology Bangalore,ME,99890,999999999,999999999,97899,999999999,122871,92926,999999999,999999999,74355,999999999,108695,81495,999999999,131107,72953,122361,96329,125898,999999999,154797,99736,999999999,999999999
87,E008 Bangalore Institute of Technology Bangalore,RI,17769,999999999,44362,15001,999999999,999999999,18034,999999999,999999999,12115,999999999,15472,12909,999999999,999999999,11595,25644,14903,51071,136317,999999999,36160,999999999,999999999
